Enrollment Headcounts,,,,Admissions,,,
"",,Fall 2017,,AY,AY,,AY
"",,Headcount Percent,,2015,2016,,2017
Total,,53,,Applicants 71,102,,87
Domestic,,29 54.7%,,Admits 12,20,,24
URM,,4 7.5%,,,,,
International,,24 45.3%,,Matriculants 4,11,,6
Men,,31 58.5%,,Admit Rate 16.9%,19.9%,,27.6%
Women,,22 41.5%,,Yield 33.3%,55.0%,,25.0%
Degree Recipients,,,,Median Time to Degree for Recipients,,,
by Academic Year of Conferral,,,,by Academic Year of Conferral,,,
AY,,AY AY,,AY,AY,,AY
2009‐11,,2012‐14 2015‐17,,2009‐11,2012‐14,,2015‐17
Total 26,,33 35,,Total 5.7,6.3,,5.7
Domestic 22,,23 21,,Domestic 5.8,6.3,,5.7
URM,‐,1,4,URM ‐,10,,6.8
International,4,10 14,,International 5.7,6.3,,5.7
Men,17,18 20,,Men 5.7,6.3,,5.7
Women,9,15 15,,Women 6.2,6.3,,5.7
Cohort Completions,,,,Cohort Completion Rates,,,
by Academic Year of Entry,,,,by Academic Year of Entry,,,
AY,,AY AY,,AY,AY,,AY
2003‐05,,2006‐08 2009‐11,,2003‐05,2006‐08,,2009‐11
Total Entering,‐,‐ ‐,,All Recipients 78.0%,74.1%,,77.2%
Not Enrolled Fall 2017,9,7 8,,Domestic 76.5%,72.2%,,78.5%
Left w/ Master's,4,5 2,,URM 50.0%,50.0%,,100%
Enrolled Fall 2017,‐,‐ 2,,International 85.7%,77.7%,,75.0%
Total Completed 32,,20 34,,,,,
"< 3Yr",‐,‐ ‐,,Men 95.8%,81.2%,,73.1%
3‐4,2,‐ 1,,Women 52.9%,63.6%,,83.3%
4‐5,5,2 11,,,,,
5‐6,9,6 14,,,,,
6‐7,3,8 6,,,,,
7‐8,5,3,,,,,
8‐9,5,‐,,,,,
9‐10,2,,,,,,
"> 10",1,,,,,,
Sector,,,,,,,
AY,,,Job Function,,,,
2016‐2018,,,AY,,,,
Total,26,100%,2016‐2018,,,,
Academia,16,61.54%,Total,,,26,100%
Government,‐,‐,Administration,,,1,3.85%
For‐Profit,7,26.92%,"Business development,",,,,
Nonprofit,‐,‐,"consulting, and strategic",,,,
Other,2,7.69%,alliances,,,1,3.85%
Unknown,1,3.85%,Clinical research management,,,‐,‐
"",,,Clinical services,,,‐,‐
"",,,"Data science, analytics, and",,,,
"",,,software engineering,,,1,3.85%
"",,,Entrepreneurship,,,‐,‐
"",,,Faculty: nontenure track,,,‐,‐
Career Type,,,Faculty: tenured/tenure track,,,‐,‐
"",,,Faculty: tenure track unclear,,,,
AY,,,or not applicable,,,‐,‐
2016‐2018,,,Group leader (research),,,‐,‐
Total,26,100%,Healthcare provider,,,‐,‐
Further Training or,,,,,,,
"",13,50%,Full‐time teaching staff,,,‐,‐
Education,,,Intellectual property and law,,,‐,‐
Primarily Research,8,30.77%,Part‐time teaching staff,,,‐,‐
Primarily Teaching,‐,‐,Postdoctoral,,,11,42.31%
Discipline‐Related,2,7.69%,Regulatory affairs,,,‐,‐
Not Related to Discipline,‐,‐,Research staff or technical,,,,
Unknown,3,11.54%,director,,,7,26.92%
"",,,Sales and marketing,,,‐,‐
"",,,Science education and,,,,
"",,,outreach,,,‐,‐
"",,,Science policy and,,,,
"",,,government affairs,,,‐,‐
1Methodological Note,,,,,,,
All career outcomes data was collected,,,Science writing and,,,,
communication through a combination of efforts that include,,,,,,‐,‐
"",,,Technical support and,,,,
"direct survey to recent graduates,",,,,,,,
"",,,product development,,,‐,‐
"departmental self-reporting, and web",,,Other,,,2,7.69%
searching. Please note: initial is defined as the,,,Completing further education,,,2,7.69%
position held 90 days after graduation.,,,Deceased/retired,,,‐,‐
"",,,Unknown,,,1,3.85%
For more information concerning the common,,,,,,,
