Enrollment Headcounts,,,,Admissions,,,
"",,Fall 2017,,AY,AY,,AY
"",,Headcount Percent,,2015,2016,,2017
Total,,58,,Applicants 88,82,,86
Domestic,,43 74.1%,,Admits 17,18,,14
URM,,8 18.6%,,,,,
International,,15 25.9%,,Matriculants 9,8,,7
Men,,22 37.9%,,Admit Rate 19.3%,22.0%,,16.3%
Women,,36 62.1%,,Yield 52.9%,44.4%,,50.0%
Degree Recipients,,,,Median Time to Degree for Recipients,,,
by Academic Year of Conferral,,,,by Academic Year of Conferral,,,
AY,,AY AY,,AY,AY,,AY
2009‐11,,2012‐14 2015‐17,,2009‐11,2012‐14,,2015‐17
Total 28,,41 27,,Total 5.7,6.0,,5.7
Domestic 24,,32 17,,Domestic 5.7,6.3,,5.7
URM,1,1,1,URM 4.7,7.7,,5.3
International,4,9 10,,International 7.2,5.7,,6.2
Men,12,15 15,,Men 5.7,6.0,,5.7
Women 16,,26 12,,Women 6.4,6.0,,5.7
Cohort Completions,,,,Cohort Completion Rates,,,
by Academic Year of Entry,,,,by Academic Year of Entry,,,
AY,,AY AY,,AY,AY,,AY
2003‐05,,2006‐08 2009‐11,,2003‐05,2006‐08,,2009‐11
Total Entering,‐,‐ ‐,,All Recipients 65.8%,80.9%,,79.4%
Not Enrolled Fall 2017 13,,9 6,,Domestic 72.0%,82.5%,,80.0%
Left w/ Master's,8,8 4,,URM 0.0%,100%,,0.0 %
Enrolled Fall 2017,‐,‐ 1,,International 53.8%,71.4%,,78.6%
Total Completed 25,,38 27,,,,,
"< 3Yr",‐,1 ‐,,Men 68.8%,82.4%,,78.9%
3‐4,‐,2 1,,Women 63.6%,80.0%,,80.0%
4‐5,2,3 4,,,,,
5‐6,11,17 17,,,,,
6‐7,7,12 4,,,,,
7‐8,4,3,,,,,
8‐9,1,‐,,,,,
9‐10,‐,,,,,,
"> 10",‐,,,,,,
Sector,,,,Job Function,,
AY,,,,AY,,
2016‐2018,,,,2016‐2018,,
Total,28,100%,,Total,28,100%
Academia,17,60.71%,,Administration,‐,‐
Government,1,3.57%,,"Business development,",,
For‐Profit,2,7.14%,,"consulting, and strategic",,
Nonprofit,‐ 3,10.71%,,alliances,‐,
Other,Clinical research management 3,10.71%,,,‐,‐
Unknown,Clinical services 2,7.14%,,,‐,‐
"",,,,"Data science, analytics, and",,
"",,,,software engineering,1,3.57%
"",,,,Entrepreneurship,‐,‐
"",,,,Faculty: nontenure track,1,3.57%
"",,,,Faculty: tenured/tenure track,1,3.57%
"",,,,Faculty: tenure track unclear,,
Career Type,,,,or not applicable,‐,‐
AY,,,,Group leader (research),‐,‐
2016‐2018,,,,Healthcare provider,‐,‐
Total,28,100%,,Full‐time teaching staff,‐,‐
Further Training or,,,,Intellectual property and law,‐,‐
"",16,57.14%,,,,
Education,,,,Part‐time teaching staff,‐,‐
Primarily Research,4,14.29%,,Postdoctoral,15,53.57%
Primarily Teaching,3,10.71%,,Regulatory affairs,‐,‐
Discipline‐Related,1,3.57%,,Research staff or technical,,
Not Related to Discipline,‐,‐,,director,4,14.29%
Unknown,4,14.29%,,Sales and marketing,‐,‐
"",,,,Science education and,,
"",,,,outreach,‐,‐
"",,,,Science policy and,,
"",,,,government affairs,‐,‐
"",,,,Science writing and,,
1Methodological Note,,,,communication,1,3.57%
All career outcomes data was collected through,,,,Technical support and,,
a combination of efforts that include direct,,,,product development,‐,‐
"survey to recent graduates, departmental self-",,,,Other,3,10.71%
"reporting, and web searching. Please note:",,,,Completing further education,1,3.57%
initial is defined as the position held 90 days,,,,Deceased/retired,‐,‐
after graduation.,,,,Unknown,1,3.57%
