Enrollment Headcounts,,,Admissions,,
"",,Fall 2017,AY,AY,AY
"",,Headcount Percent,2015,2016,2017
Total,,14,Applicants 102,99,91
Domestic,,6 42.9%,Admits 7,11,10
URM,,2 33.3%,,,
International,,8 57.1%,Matriculants 2,3,6
Men,,7 50.0%,Admit Rate 6.9%,11.1%,11.0%
Women,,7 50.0%,Yield 28.6%,27.3%,60.0%
"",,,,,
"",,,,,
Degree Recipients,,,Median Time to Degree for Recipients,,
by Academic Year of Conferral,,,by Academic Year of Conferral,,
AY,,AY AY,AY,AY,AY
2009‐11,,2012‐14 2015‐17,2009‐11,2012‐14,2015‐17
Total,‐,‐ ‐,Total ‐,‐,‐
Domestic,‐,‐ ‐,Domestic ‐,‐,‐
URM,‐,‐ ‐,URM ‐,‐,‐
International,‐,‐ ‐,International ‐,‐,‐
Men,‐,‐ ‐,Men ‐,‐,‐
Women,‐,‐ ‐,Women ‐,‐,‐
"",,,,,
Cohort Completions,,,Cohort Completion Rates,,
by Academic Year of Entry,,,by Academic Year of Entry,,
AY,,AY AY,AY,AY,AY
2003‐05,,2006‐08 2009‐11,2003‐05,2006‐08,2009‐11
Total Entering,‐,‐ ‐,All Recipients ‐,‐,‐
Not Enrolled Fall 2017,‐,‐ ‐,Domestic ‐,‐,‐
Left w/ Master's,‐,‐ ‐,URM ‐,‐,‐
"",,,,,
Enrolled Fall 2017,‐,‐ ‐,International ‐,‐,‐
Total Completed,‐,‐ ‐,,,
"< 3Yr",‐,‐ ‐,Men ‐,‐,‐
"",,,,,
3‐4,‐,‐ ‐,Women ‐,‐,‐
4‐5,‐,‐ ‐,,,
5‐6,‐,‐ ‐,,,
6‐7,‐,‐ ‐,,,
7‐8,‐,‐,,,
8‐9,‐,‐,1.Biostatistics is a new program that began in 2014. No degrees have been conferred yet.,,
9‐10,2,,,,
"> 10",1,,,,
