Enrollment Headcounts,,,,Admissions,,,
"",,Fall 2017,,AY,AY,,AY
"",,Headcount Percent,,2015,2016,,2017
Total,,131,,Applicants 271,276,,335
Domestic,,64 48.9%,,Admits 62,57,,89
URM,,11 17.2%,,,,,
International,,67 51.1%,,Matriculants 28,19,,33
Men,,66 50.4%,,Admit Rate 22.9%,20.7%,,26.6%
Women,,65 49.6%,,Yield 45.2%,33.3%,,37.1%
Degree Recipients,,,,Median Time to Degree for Recipients,,,
by Academic Year of Conferral,,,,by Academic Year of Conferral,,,
AY,,AY AY,,AY,AY,,AY
2009‐11,,2012‐14 2015‐17,,2009‐11,2012‐14,,2015‐17
Total 41,,48 47,,Total 5.0,5.0,,5.4
Domestic 27,,34 29,,Domestic 5.3,5.0,,5.7
URM,3,1,2,URM 6.7,6.0,,5.3
International,14,14 18,,International 4.7,5.0,,5.3
Men,21,23 28,,Men 5.0,5.0,,5.7
Women,20,25 19,,Women 5.2,5.0,,4.9
Cohort Completions,,,,Cohort Completion Rates,,,
by Academic Year of Entry,,,,by Academic Year of Entry,,,
AY,,AY AY,,AY,AY,,AY
2003‐05,,2006‐08 2009‐11,,2003‐05,2006‐08,,2009‐11
Total Entering,‐,‐ ‐,,All Recipients 76.0%,78.1%,,76.8%
Not Enrolled Fall 2017 12,,14 11,,Domestic 79.3%,77.1%,,85.7%
Left w/ Master's,5,5 5,,URM 100%,33.3%,,50.0%
Enrolled Fall 2017,‐,‐ 2,,International 71.4%,81.2%,,66.6%
Total Completed 38,,50 43,,,,,
"< 3Yr",‐,1 1,,Men 80.7%,78.6%,,86.2%
3‐4,3,3 2,,Women 70.8%,77.7%,,66.6%
4‐5,17,28 18,,,,,
5‐6,14,16 14,,,,,
6‐7,3,1 7,,,,,
7‐8,‐,1,,,,,
8‐9,1,‐,,,,,
9‐10,‐,,,,,,
"> 10",‐,,,,,,
Sector,,,,Job Function,,
AY,,,,AY,,
2016‐2018,,,,2016‐2018,,
Total,45,100%,,Total,45,100%
Academia,17,37.78%,,Administration,1,2.22%
Government,2,4.44%,,"Business development,",,
For‐Profit,18,40.00%,,"consulting, and strategic",,
Nonprofit,3,6.67%,,alliances,‐,‐
Other,1,2.22%,,Clinical research management,‐,‐
Unknown,4,8.89%,,Clinical services,1,2.22%
"",,,,"Data science, analytics, and",,
"",,,,software engineering,1,2.22%
"",,,,Entrepreneurship,‐,‐
"",,,,Faculty: nontenure track,‐,‐
"",,,,Faculty: tenured/tenure track,‐,‐
Career Type,,,,Faculty: tenure track unclear,,
"",,,,or not applicable,‐,‐
AY,,,,Group leader (research),‐,‐
2016‐2018,,,,Healthcare provider,‐,‐
Total,45,100%,,Full‐time teaching staff,‐,‐
Further Training or,,,,,,
"",20,44.44%,,Intellectual property and law,‐,‐
Education,,,,Part‐time teaching staff,‐,‐
Primarily Research,6,13.33%,,Postdoctoral,20,44.44%
Primarily Teaching,1,2.22%,,Regulatory affairs,‐,‐
Discipline‐Related,12,26.67%,,Research staff or technical,,
Not Related to Discipline,2,4.44%,,director,10,22.22%
Unknown,4,8.89%,,Sales and marketing,‐,‐
"",,,,Science education and,,
"",,,,outreach,‐,‐
"",,,,Science policy and,,
1Methodological Note,,,,government affairs,‐,‐
All career outcomes data was collected,,,,Science writing and,,
through a combination of efforts that include,,,,communication,‐,‐
"direct survey to recent graduates,",,,,Technical support and,,
"departmental self-reporting, and web",,,,product development,7,15.56%
searching. Please note: initial is defined as the,,,,Other,1,2.22%
position held 90 days after graduation.,,,,Completing further education,‐,‐
"",,,,Deceased/retired,‐,‐
For more information concerning the common,,,,Unknown,4,8.89%
