Enrollment Headcounts,,,Admissions,,,
"",,Fall 2017,AY,AY,AY,
"",,Headcount Percent,2015,2016,2017,
Total,,10,Applicants 114,90,71,
Domestic,,9 90.0%,Admits 14,10,8,
URM,,2 22.2%,,,,
International,,1 10.0%,Matriculants 6,5,5,
Men,,7 70.0%,Admit Rate 12.3%,11.1%,11.3%,
Women,,3 30.0%,Yield 42.9%,50.0%,62.5%,
Degree Recipients,,,Median Time to Degree for Recipients,,,
by Academic Year of Conferral,,,by Academic Year of Conferral,,,
AY,,AY AY,AY,AY,AY,
2009‐11,,2012‐14 2015‐17,2009‐11,2012‐14,2015‐17,
Total,‐,‐ ‐,Total ‐,‐,‐,
Domestic,‐,‐ ‐,Domestic ‐,‐,‐,
URM,‐,‐ ‐,URM ‐,‐,‐,
International,‐,‐ ‐,International ‐,‐,‐,
Men,‐,‐ ‐,Men ‐,‐,‐,
Women,‐,‐ ‐,Women ‐,‐,‐,
Cohort Completions,,,Cohort Completion Rates,,,
by Academic Year of Entry,,,by Academic Year of Entry,,,
AY,,AY AY,AY,AY,AY,
2003‐05,,2006‐08 2009‐11,2003‐05,2006‐08,2009‐11,
Total Entering,‐,‐ ‐,All Recipients ‐,‐,,‐
Not Enrolled Fall 2017,‐,‐ ‐,Domestic ‐,‐,,‐
Left w/ Master's,‐,‐ ‐,URM ‐,‐,,‐
"",,,,,,
Enrolled Fall 2017,‐,‐ ‐,International ‐,‐,,‐
Total Completed,‐,‐ ‐,,,,
"< 3Yr",‐,‐ ‐,Men ‐,‐,,‐
3‐4,‐,‐,Women ‐,‐,,‐
4‐5,‐,‐ ‐,,,,
"",,,,,,
5‐6,‐,‐ ‐,,,,
"",,,,,,
6‐7,‐,‐ ‐,1. Cognitive Neuroscience is an admitting program. As an,,,
7‐8,‐,‐,"admitting program, students may apply and be admitted directly",,,
8‐9,‐,‐,"to this program, but the Ph.D. degree is offered only through",,,
"",,,"one of the following departments: Biochemistry, Biology, Cell",,,
9‐10,‐,,"Biology, Immunology, Molecular Genetics and Microbiology,",,,
"> 10",‐,,"Neurobiology, Pathology, Pharmacology and Cancer Biology.",,,
