Enrollment Headcounts,,,,Admissions,,,
"",,Fall 2017,,AY,AY,,AY
"",,Headcount Percent,,2015,2016,,2017
Total,,33,,Applicants 105,90,,91
Domestic,,16 48.5%,,Admits 15,20,,16
URM,,1 6.3%,,,,,
International,,17 51.5%,,Matriculants 6,7,,6
Men,,20 60.6%,,Admit Rate 14.3%,22.2%,,17.6%
Women,,13 39.4%,,Yield 40.0%,35.0%,,37.5%
Degree Recipients,,,,Median Time to Degree for Recipients,,,
by Academic Year of Conferral,,,,by Academic Year of Conferral,,,
AY,,AY AY,,AY,AY,,AY
2009‐11,,2012‐14 2015‐17,,2009‐11,2012‐14,,2015‐17
Total 14,,15 23,,Total 5.3,5.6,,5.7
"",,,,,,,
Domestic 13,,7 11,,Domestic 5.0,4.7,,5.7
URM,1,1,1,URM  6.0,4.7,,5.3
International,1,8 12,,International 5.7,5.8,,5.5
Men,10,10 15,,Men 4.8,5.7,,5.7
Women,4,5 8,,Women 5.7,5.4,,5.1
Cohort Completions,,,,Cohort Completion Rates,,,
by Academic Year of Entry,,,,by Academic Year of Entry,,,
AY,,AY AY,,AY,AY,,AY
2003‐05,,2006‐08 2009‐11,,2003‐05,2006‐08,,2009‐11
Total Entering,‐,‐ ‐,,All Recipients 83.3%,83.3%,,79.3%
Not Enrolled Fall 2017,3,2 5,,Domestic 78.6%,85.7%,,73.3%
Left w/ Master's,1,1 4,,URM 100%,0.0%,,50.0%
"",,,,,,,
Enrolled Fall 2017,‐,‐ 1,,International 100%,80.0%,,85.7%
Total Completed 15,,10 23,,,,,
"< 3Yr",‐,‐ ‐,,Men 75.0%,81.8%,,78.9%
"",,,,,,,
3‐4,1,‐ ‐,,Women 100%,100%,,80.0%
4‐5,5,4 8,,,,,
"",,,,,,,
5‐6,4,3 11,,,,,
"",,,,,,,
6‐7,4,3 4,,,,,
7‐8,1,‐,,,,,
8‐9,‐,‐,,,,,
9‐10,‐,,,,,,
"> 10",‐,,,,,,
Sector,,,,,,,
AY,,,,Job Function,,,
2016‐2018,,,,AY,,,
Total,19,100%,,2016‐2018,,,
Academia,10,52.63%,,Total,,19,100%
Government,‐,‐,,Administration,,‐,‐
For‐Profit,6,31.58%,,"Business development,",,,
Nonprofit,‐,‐,,"consulting, and strategic",,,
Other,3,15.79%,,alliances,,‐,‐
Unknown,‐,‐,,Clinical research management,,‐,‐
"",,,,Clinical services,,‐,‐
"",,,,"Data science, analytics, and",,,
"",,,,software engineering,,‐,‐
"",,,,Entrepreneurship,,‐,‐
"",,,,Faculty: nontenure track,,‐,‐
Career Type,,,,Faculty: tenured/tenure track Faculty: tenure track unclear,,‐,‐
AY,,,,or not applicable,,‐,‐
2016‐2018,,,,Group leader (research),,‐,‐
Total,19,100%,,Healthcare provider,,1,5.26%
Further Training or,,,,,,,
"",10,52.63%,,Full‐time teaching staff,,‐,‐
Education,,,,Intellectual property and law,,‐,‐
Primarily Research,5,26.32%,,Part‐time teaching staff,,‐,‐
Primarily Teaching,‐,‐,,Postdoctoral,,9,47.37%
Discipline‐Related,1,5.26%,,Regulatory affairs,,‐,‐
Not Related to Discipline,‐,‐,,Research staff or technical,,,
Unknown,3,15.79%,,director,,6,31.58%
"",,,,Sales and marketing,,‐,‐
"",,,,Science education and,,,
"",,,,outreach,,‐,‐
1Methodological Note,,,,Science policy and,,,
All career outcomes data was collected,,,,government affairs,,‐,‐
through a combination of efforts that include,,,,Science writing and,,,
"direct survey to recent graduates,",,,,communication,,‐,‐
"departmental self-reporting, and web",,,,Technical support and,,,
searching. Please note: initial is defined as the,,,,product development,,‐,‐
position held 90 days after graduation.,,,,Other,,3,15.79%
"",,,,Completing further education,,‐,‐
For more information concerning the common,,,,Deceased/retired,,‐,‐
set of definitions employed in the Coalition for,,,,Unknown,,‐,‐
