Enrollment Headcounts,,,Admissions,,
"",,Fall 2017,AY,AY,AY
"",,Headcount Percent,2015,2016,2017
Total,,4,Applicants 60,72,74
Domestic,,4 100%,Admits 20,22,17
URM,,‐ 0.0%,,,
International,,‐ 0.0%,Matriculants 5,7,3
Men,,3 75.0%,Admit Rate 33.3%,30.6%,23.0%
Women,,1 25.0%,Yield 25.0%,31.8%,17.6%
Degree Recipients,,,Median Time to Degree for Recipients,,
by Academic Year of Conferral,,,by Academic Year of Conferral,,
AY,,AY AY,AY,AY,AY
2009‐11,,2012‐14 2015‐17,2009‐11,2012‐14,2015‐17
Total,‐,‐ ‐,Total ‐,‐,‐
Domestic,‐,‐ ‐,Domestic ‐,‐,‐
URM,‐,‐ ‐,URM ‐,‐,‐
International,‐,‐ ‐,International ‐,‐,‐
Men,‐,‐ ‐,Men ‐,‐,‐
Women,‐,‐ ‐,Women ‐,‐,‐
Cohort Completions,,,Cohort Completion Rates,,
by Academic Year of Entry,,,by Academic Year of Entry,,
AY,,AY AY,AY,AY,AY
2003‐05,,2006‐08 2009‐11,2003‐05,2006‐08,2009‐11
Total Entering,‐,‐ ‐,All Recipients ‐,‐,‐
Not Enrolled Fall 2017,‐,‐ ‐,Domestic ‐,‐,‐
Left w/ Master's,‐,‐ ‐,URM ‐,‐,‐
"",,,,,
Enrolled Fall 2017,‐,‐ ‐,International ‐,‐,‐
Total Completed,‐,‐ ‐,,,
"< 3Yr",‐,‐ ‐,Men ‐,‐,‐
3‐4,‐,‐,Women ‐,‐,‐
4‐5,‐,‐ ‐,,,
"",,,,,
5‐6,‐,‐ ‐,,,
"",,,,,
6‐7,‐,‐ ‐,1. Developmental and Stem Cell Biology is an admitting program.,,
7‐8,‐,‐,"As an admitting program, students may apply and be admitted",,
8‐9,‐,‐,"directly to this program, but the Ph.D. degree is offered only",,
"",,,"through one of the following departments: Biochemistry,",,
9‐10,‐,,"Biology, Cell Biology, Immunology, Molecular Genetics and",,
"> 10",‐,,"Microbiology, Neurobiology, Pathology, Pharmacology and",,
