Enrollment Headcounts,,,,Admissions,,,
"",,Fall 2017,,AY,AY,,AY
"",,Headcount Percent,,2015,2016,,2017
Total,,24,,Applicants 49,64,,54
Domestic,,24 100%,,Admits 7,8,,5
URM,,1 4.2%,,,,,
International,,‐ 0.0%,,Matriculants 4,4,,3
Men,,8 33.3%,,Admit Rate 14.3%,12.5%,,9.3%
Women,,16 66.7%,,Yield 57.1%,50.0%,,60.0%
Degree Recipients,,,,Median Time to Degree for Recipients,,,
by Academic Year of Conferral,,,,by Academic Year of Conferral,,,
AY,,AY AY,,AY,AY,,AY
2009‐11,,2012‐14 2015‐17,,2009‐11,2012‐14,,2015‐17
Total 24,,12 14,,Total 5.7,5.5,,5.7
Domestic 23,,10 14,,Domestic 5.7,5.7,,5.7
URM,1,1,1,URM 8.7,5.7,,6.0
International,1,2 ‐,,International 6.0,4.2,,‐
Men,11,8 4,,Men 5.4,5.5,,5.3
Women 13,,4 10,,Women 6.0,5.5,,5.7
Cohort Completions,,,,Cohort Completion Rates,,,
by Academic Year of Entry,,,,by Academic Year of Entry,,,
AY,,AY AY,,AY,AY,,AY
2003‐05,,2006‐08 2009‐11,,2003‐05,2006‐08,,2009‐11
Total Entering,‐,‐ ‐,,All Recipients 79.3%,92.9%,,92.3%
Not Enrolled Fall 2017,6,1 ‐,,Domestic 80.0%,92.9%,,90.9%
Left w/ Master's,3,‐ ‐,,URM 100%,100%,,100%
Enrolled Fall 2017,‐,‐ 1,,International 75.0%,0.0%,,100%
Total Completed 23,,13 12,,,,,
"< 3Yr",1,1 ‐,,Men 86.7%,100%,,83.3%
3‐4,1,2 2,,Women 71.4%,85.7%,,100%
4‐5,3,3 3,,,,,
5‐6 11,,7 6,,,,,
6‐7,2,‐ 1,,,,,
7‐8,2,‐,,,,,
8‐9,2,‐,,,,,
9‐10,1,,,,,,
"> 10",‐,,,,,,
Sector,,,,Job Function,,,
AY,,,,AY,,,
2016‐2018,,,,2016‐2018,,,
Total,18,100%,,Total,,18,100%
Academia,13,72.22%,,Administration,,‐,‐
Government,‐,‐,,"Business development,",,,
For‐Profit,4,22.22%,,"consulting, and strategic",,,
Nonprofit,‐,‐,,alliances,,1,5.56%
Other,‐,‐,,Clinical research management,,‐,‐
Unknown,1,5.56%,,Clinical services,,‐,‐
"",,,,"Data science, analytics, and",,,
"",,,,software engineering,,1,5.56%
"",,,,Entrepreneurship,,‐,‐
"",,,,Faculty: nontenure track,,‐,‐
"",,,,Faculty: tenured/tenure track,,1,5.56%
Career Type,,,,Faculty: tenure track unclear or not applicable,,‐,‐
AY,,,,Group leader (research),,‐,‐
2016‐2018,,,,Healthcare provider,,‐,‐
Total,18,100%,,Full‐time teaching staff,,‐,‐
Further Training or,,,,,,,
"",12,66.67%,,Intellectual property and law,,‐,‐
Education,,,,Part‐time teaching staff,,‐,‐
Primarily Research,1,5.56%,,Postdoctoral,,12,66.67%
Primarily Teaching,‐,‐,,Regulatory affairs,,‐,‐
Discipline‐Related,3,16.67%,,Research staff or technical,,,
Not Related to Discipline,1,5.56%,,director,,‐,‐
Unknown,1,5.56%,,Sales and marketing,,‐,‐
"",,,,Science education and,,,
"",,,,outreach,,‐,‐
"",,,,Science policy and,,,
1Methodological Note,,,,government affairs,,‐,‐
All career outcomes data was collected,,,,Science writing and,,,
through a combination of efforts that include,,,,communication,,1,5.56%
"direct survey to recent graduates,",,,,Technical support and,,,
"departmental self-reporting, and web",,,,product development,,‐,‐
searching. Please note: initial is defined as the,,,,Other,,‐,‐
position held 90 days after graduation.,,,,Completing further education,,‐,‐
"",,,,Deceased/retired,,‐,‐
For more information concerning the common,,,,Unknown,,2,11.11%
