Enrollment Headcounts,,,Admissions,,,
"",,Fall 2017,AY,AY,,AY
"",,Headcount Percent,2015,2016,,2017
Total,,12,Applicants 66,58,,44
Domestic,,11 91.7%,Admits 3,2,,3
URM,,2 18.2%,,,,
International,,1 8.3%,Matriculants 2,2,,1
Men,,4 33.3%,Admit Rate 4.5%,3.4%,,6.8%
Women,,8 66.7%,Yield 66.7%,100%,,33.3%
Degree Recipients,,,Median Time to Degree for Recipients,,,
by Academic Year of Conferral,,,by Academic Year of Conferral,,,
AY,,AY AY,AY,AY,,AY
2009‐11,,2012‐14 2015‐17,2009‐11,2012‐14,,2015‐17
Total,8,5 9,Total 7.3,5.0,,5.3
Domestic,8,4 9,Domestic 7.3,5.0,,5.3
URM,‐,‐ 2,URM ‐,‐,,5.5
International,‐,1 ‐,International ‐,5.0,,‐
Men,4,2 4,Men 6.3,4.8,,4.7
Women,4,3 5,Women 7.3,5.3,,5.7
Cohort Completions,,,Cohort Completion Rates,,,
by Academic Year of Entry,,,by Academic Year of Entry,,,
AY,,AY AY,AY,AY,,AY
2003‐05,,2006‐08 2009‐11,2003‐05,2006‐08,,2009‐11
Total Entering,‐,‐ ‐,All Recipients 66.7%,50.0%,,75.0%
Not Enrolled Fall 2017,2,5 1,Domestic 60.0%,55.6%,,71.4%
Left w/ Master's,1,2 1,URM 0.0%,0.0%,,66.7%
"",,,,,,
Enrolled Fall 2017,‐,‐ 1,International 100%,0.0%,,100%
Total Completed,4,5 6,,,,
"< 3Yr",‐,‐ ‐,Men 100%,66.7%,,66.7%
"",,,,,,
3‐4,‐,1 ‐,Women 33.3%,42.9%,,80.0%
4‐5,1,2 2,,,,
"",,,,,,
5‐6,2,2 4,,,,
"",,,,,,
6‐7,1,‐ ‐,,,,
7‐8,‐,‐,,,,
8‐9,‐,‐,,,,
9‐10,‐,,,,,
"> 10",‐,,,,,
Sector,,,,,,
AY,,,Job Function,,,
2016‐2018,,,AY,,,
Total,8,100%,2016‐2018,,,
Academia,8,100%,Total,,8,100%
Government,‐,‐,Administration,,1,12.5%
For‐Profit,‐,‐,"Business development,",,,
"",,,"consulting, and strategic",,,
Nonprofit,‐,‐,alliances,,‐,‐
Other,‐,‐,Clinical research management,,‐,‐
Unknown,‐,‐,Clinical services,,‐,‐
"",,,"Data science, analytics, and",,,
"",,,software engineering,,‐,‐
"",,,Entrepreneurship,,‐,‐
"",,,Faculty: nontenure track,,2,25%
"",,,Faculty: tenured/tenure track,,‐,‐
Career Type,,,Faculty: tenure track unclear,,,
AY,,,,,,
"",,,or not applicable,,‐,‐
2016‐2018,,,,,,
"",,,Group leader (research),,‐,‐
Healthcare provider Total,8,100%,,,‐,‐
"‐ Further Training or",,,Full‐time teaching staff,,‐,
"‐ Education",5,62.5%,Intellectual property and law,,‐,
"‐ Primarily Research 62.5% Primarily Teaching",‐ 2,‐ 25%,Part‐time teaching staff Postdoctoral,,‐ 5,
"",,,Regulatory affairs,,‐,‐
Discipline‐Related,‐,‐,Research staff or technical,,,
Not Related to Discipline,1,12.5%,director,,‐,‐
Unknown,‐,‐,Sales and marketing,,‐,‐
"",,,Science education and,,,
"",,,outreach,,‐,‐
"",,,Science policy and,,,
1Methodological Note,,,,,,
All career outcomes data was collected,,,government affairs,,‐,‐
through a combination of efforts that include,,,Science writing and,,,
"direct survey to recent graduates,",,,communication,,‐,‐
"departmental self-reporting, and web",,,Technical support and,,,
searching. Please note: initial is defined as the,,,product development,,‐,‐
position held 90 days after graduation.,,,Other,,‐,‐
"",,,Completing further education,,‐,‐
For more information concerning the common,,,Deceased/retired,,‐,‐
set of definitions employed in the Coalition for,,,Unknown,,‐,‐
