Enrollment Headcounts,,,Admissions,,,
"",,Fall 2017,AY,AY,,AY
"",,Headcount Percent,2015,2016,,2017
Total,,58,Applicants 84,88,,86
Domestic,,51 87.9%,Admits 22,24,,22
URM,,11 21.6%,,,,
International,,7 12.1%,Matriculants 6,8,,10
Men,,24 41.4%,Admit Rate 26.2%,27.3%,,25.6%
Women,,34 58.6%,Yield 27.3%,33.3%,,45.5%
Degree Recipients,,,Median Time to Degree for Recipients,,,
by Academic Year of Conferral,,,by Academic Year of Conferral,,,
AY,,AY AY,AY,AY,,AY
2009‐11,,2012‐14 2015‐17,2009‐11,2012‐14,,2015‐17
Total 31,,46 36,Total 5.7,5.7,,6.0
Domestic 27,,41 31,Domestic 5.7,5.7,,6.0
URM,5,4 3,URM 6.7,6.2,,5.7
International,4,5 5,International 5.7,5.7,,6.4
Men,13,15 12,Men 6.0,6.3,,6.0
Women 18,,31 24,Women 5.7,5.7,,6.0
Cohort Completions,,,Cohort Completion Rates,,,
by Academic Year of Entry,,,by Academic Year of Entry,,,
AY,,AY AY,AY,AY,,AY
2003‐05,,2006‐08 2009‐11,2003‐05,2006‐08,,2009‐11
Total Entering,‐,‐ ‐,All Recipients 84.0%,91.7%,,75.6%
Not Enrolled Fall 2017,8,4 8,Domestic 86.0%,93.0%,,77.4%
Left w/ Master's,5,3 4,URM 100%,100%,,75.0%
Enrolled Fall 2017,‐,‐ 2,International 71.4%,80.0%,,70.0%
Total Completed,42,31,,,,
"< 3Yr",2,44‐ ‐,Men 87.5%,93.3%,,71.4%
"",,,,,,
3‐4,6,‐ ‐,Women 82.4%,90.9%,,77.8%
4‐5,9,‐ 3,,,,
5‐6,11,8 14,,,,
6‐7,11,21 12,,,,
7‐8,‐,12,,,,
8‐9,2,1,,,,
9‐10,1,,,,,
"> 10",‐,,,,,
Sector,,,Job Function,,
AY,,,AY,,
2016‐2018,,,2016‐2018,,
Total,39,100%,Total,39,100%
Academia,28,71.79%,Administration,1,2.56%
Government,2,5.13%,"Business development,",,
For‐Profit,7,17.95%,"consulting, and strategic",,
Nonprofit,‐,‐,alliances,1,2.56%
Other,2,5.13%,Clinical research management,1,2.56%
Unknown,‐,‐,Clinical services,‐,‐
"",,,"Data science, analytics, and",,
"",,,software engineering,2,5.13%
"",,,Entrepreneurship,‐,‐
"",,,Faculty: nontenure track,3,7.69%
Career Type,,,Faculty: tenured/tenure track,1,2.56%
Faculty: tenure track unclear AY,,,,,
"‐ 2016‐2018",,,or not applicable,‐,
Group leader (research) Total,39,100%,,‐,‐
"",,,Healthcare provider,1,2.56%
Further Training or,,,,,
"",25,64.10%,Full‐time teaching staff,‐,‐
Education,,,Intellectual property and law,‐,‐
Primarily Research,2,5.13%,Part‐time teaching staff,‐,‐
Primarily Teaching,4,10.26%,Postdoctoral,24,61.54%
Discipline‐Related,6,15.38%,Regulatory affairs,‐,‐
Not Related to Discipline,‐,‐,Research staff or technical,,
Unknown,2,5.13%,director,1,2.56%
"",,,Sales and marketing,1,2.56%
"",,,Science education and,,
"",,,outreach,‐,‐
"",,,Science policy and,,
1Methodological Note,,,,,
All career outcomes data was collected,,,government affairs,‐,‐
through a combination of efforts that include,,,Science writing and,,
"direct survey to recent graduates,",,,communication,1,2.56%
"departmental self-reporting, and web",,,Technical support and,,
searching. Please note: initial is defined as the,,,product development,‐,‐
position held 90 days after graduation.,,,,,
"",,,Other,2,5.13%
"",,,Completing further education,‐,‐
For more information concerning the common,,,Deceased/retired,‐,‐
set of definitions employed in the Coalition for,,,Unknown,‐,‐
