Enrollment Headcounts,,,Admissions,,
"",,Fall 2017,AY,AY,AY
"",,Headcount Percent,2015,2016,2017
Total,,32,Applicants 74,61,62
Domestic,,28 87.5%,Admits 10,8,10
URM,,3 10.7%,,,
International,,4 12.5%,Matriculants 7,7,6
Men,,14 43.8%,Admit Rate 13.5%,13.1%,16.1%
Women,,18 56.3%,Yield 70.0%,87.5%,60.0%
Degree Recipients,,,Median Time to Degree for Recipients,,
by Academic Year of Conferral,,,by Academic Year of Conferral,,
AY,,AY AY,AY,AY,AY
2009‐11,,2012‐14 2015‐17,2009‐11,2012‐14,2015‐17
Total,1,5 22,Total 2.3,4.7,5.7
Domestic,1,4 17,Domestic 2.3,5.0,5.7
URM,‐,‐ 1,URM  ‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐‐ 4.7,,
International,‐,1 5,International ‐,3.3,6.0
Men,‐,1 7,Men ‐,5.3,5.7
Women,1,4 15,Women 2.3,4.2,5.7
Cohort Completions,,,Cohort Completion Rates,,
by Academic Year of Entry,,,by Academic Year of Entry,,
AY,,AY AY,AY,AY,AY
2003‐05,,2006‐08 2009‐11,2003‐05,2006‐08,2009‐11
Total Entering,‐,‐ ‐,All Recipients 0.0%,75.0%,76.9%
Not Enrolled Fall 2017,‐,1 4,Domestic 0.0%,100%,71.4%
Left w/ Master's,‐,‐ ‐,URM 0.0%,0.0%,100%
Enrolled Fall 2017,‐,‐ 2,International 0.0%,0.0%,100%
Total Completed,‐,3 20,,,
"< 3Yr",‐,‐ 1,Men 0.0%,50.0%,85.7%
3‐4,‐,‐ 2,Women 0.0%,100%,73.7%
4‐5,‐,‐ 3,,,
5‐6,‐,2 11,,,
6‐7,‐,‐ 2,,,
7‐8,‐,‐,,,
8‐9,‐,1,,,
9‐10,‐,,,,
"> 10",‐,,,,
Sector,,,,Job Function,,,
AY,,,,AY,,,
2016‐2018,,,,2016‐2018,,,
Total,18,100%,,Total,,18,100%
Academia,9,50%,,Administration,,1,5.56%
Government,3,16.67%,,"Business development,",,,
For‐Profit,‐,‐,,"consulting, and strategic",,,
Nonprofit,2,11.11%,,alliances,,‐,‐
Other,‐,‐,,Clinical research management,,‐,‐
Unknown,4,22.22%,,Clinical services,,‐,‐
"",,,,"Data science, analytics, and",,,
"",,,,software engineering,,‐,‐
"",,,,Entrepreneurship,,‐,‐
"",,,,Faculty: nontenure track,,2,11.11%
C areer Type,,,,Faculty: tenured/tenure track,,‐,‐
AY,,,,Faculty: tenure track unclear,,,
2016‐2018,,,,or not applicable,,‐,‐
Total,18,100%,,Group leader (research),,‐,‐
Further Training or,,,,Healthcare provider,,‐,‐
"",6,33.33%,,,,,
Education,,,,Full‐time teaching staff,,‐,‐
Primarily Research,2,11.11%,,Intellectual property and law,,‐,‐
Primarily Teaching,2,11.11%,,Part‐time teaching staff,,‐,‐
Discipline‐Related,4,22.22%,,Postdoctoral,,8,44.44%
Not Related to Discipline,‐,‐,,Regulatory affairs,,‐,‐
Unknown,4,22.22%,,Research staff or technical,,,
"",,,,director,,2,11.11%
"",,,,Sales and marketing,,‐,‐
"",,,,Science education and,,,
"",,,,outreach,,‐,‐
1Methodological Note,,,,Science policy and,,,
All career outcomes data was collected,,,,government affairs,,1,5.56%
through a combination of efforts that include,,,,Science writing and,,,
"direct survey to recent graduates,",,,,communication,,‐,‐
"departmental self-reporting, and web",,,,Technical support and,,,
searching. Please note: initial is defined as the,,,,product development,,‐,‐
position held 90 days after graduation.,,,,Other,,‐,‐
"",,,,Completing further education,,‐,‐
For more information concerning the common,,,,Deceased/retired,,‐,‐
set of definitions employed in the Coalition for,,,,Unknown,,4,22.22%
