Enrollment Headcounts,,,Admissions,,,
"",,Fall 2017,AY,AY,,AY
"",,Headcount Percent,2015,2016,,2017
Total,,22,Applicants 81,77,,84
Domestic,,17 77.3%,Admits 8,8,,7
URM,,5 29.4%,,,,
International,,5 22.7%,Matriculants 6,6,,4
Men,,13 59.1%,Admit Rate 9.9%,10.4%,,8.3%
Women,,9 40.9%,Yield 75.0%,75.0%,,57.1%
Degree Recipients,,,Median Time to Degree for Recipients,,,
by Academic Year of Conferral,,,by Academic Year of Conferral,,,
AY,,AY AY,AY,AY,,AY
2009‐11,,2012‐14 2015‐17,2009‐11,2012‐14,,2015‐17
Total 11,,8 17,Total 4.7,4.7,,4.7
Domestic,8,4 11,Domestic 4.8,4.5,,4.7
URM,‐,1 2,URM ‐,4.3,,6.5
International,3,4 6,International 3.9,4.7,,4.2
Men,7,6 11,Men 3.9,4.7,,4.7
Women,4,2 6,Women 5.0,4.7,,4.3
Cohort Completions,,,Cohort Completion Rates,,,
by Academic Year of Entry,,,by Academic Year of Entry,,,
AY,,AY AY,AY,AY,,AY
2003‐05,,2006‐08 2009‐11,2003‐05,2006‐08,,2009‐11
Total Entering,‐,‐ ‐,All Recipients 0.0%,64.7%,,94.1%
Not Enrolled Fall 2017,‐,6 1,Domestic 0.0%,72.7%,,90.9%
Left w/ Master's,‐,4 ‐,URM 0.0%,50.0%,,66.7%
Enrolled Fall 2017,‐,‐ ‐,International 0.0%,50.0%,,100%
Total Completed,‐,11 16,,,,
"< 3Yr",‐,2 2,Men 0.0%,70.0%,,91.6%
3‐4,‐,2 1,Women 0.0%,57.1%,,100%
4‐5,‐,5 7,,,,
5‐6,‐,2 5,,,,
6‐7,‐,‐ ‐,,,,
7‐8,‐,‐,,,,
8‐9,‐,‐,,,,
9‐10,‐,,,,,
"> 10",‐,,,,,
Sector,,,,Job Function,,,
AY,,,,AY,,,
2016‐2018,,,,2016‐2018,,,
Total,10,100%,,Total,,10,100%
Academia,8,80%,,Administration,,‐,‐
Government,‐,‐,,"Business development,",,,
For‐Profit,‐,‐,,"consulting, and strategic",,,
Nonprofit,‐,‐,,alliances,,‐,‐
Other,‐,‐,,Clinical research management,,‐,‐
Unknown,2,20%,,Clinical services,,2,20%
"",,,,"Data science, analytics, and",,,
"",,,,software engineering,,‐,‐
"",,,,Entrepreneurship,,‐,‐
"",,,,Faculty: nontenure track,,‐,‐
Career Type,,,,Faculty: tenured/tenure track,,‐,‐
"",,,,Faculty: tenure track unclear,,,
AY,,,,or not applicable,,‐,‐
2016‐2018,,,,Group leader (research),,‐,‐
Total,10,100%,,Healthcare provider,,5,50%
Further Training or,,,,,,,
"",5,50%,,Full‐time teaching staff,,‐,‐
Education,,,,Intellectual property and law,,‐,‐
Primarily Research,1,10%,,Part‐time teaching staff,,‐,‐
Primarily Teaching,‐,‐,,Postdoctoral,,‐,‐
Discipline‐Related,2,20%,,Regulatory affairs,,‐,‐
Not Related to Discipline,‐,‐,,Research staff or technical,,,
Unknown,2,20%,,director,,1,10%
"",,,,Sales and marketing,,‐,‐
"",,,,Science education and,,,
"",,,,outreach,,‐,‐
"",,,,Science policy and,,,
1Methodological Note,,,,government affairs,,‐,‐
All career outcomes data was collected,,,,Science writing and,,,
through a combination of efforts that include,,,,communication,,‐,‐
"direct survey to recent graduates,",,,,Technical support and,,,
"departmental self-reporting, and web",,,,product development,,‐,‐
searching. Please note: initial is defined as the,,,,Other,,‐,‐
position held 90 days after graduation.,,,,Completing further education,,‐,‐
"",,,,Deceased/retired,,‐,‐
For more information concerning the common,,,,Unknown,,2,20%
