Enrollment Headcounts,,,Admissions,,,
"",,Fall 2017,AY,AY,,AY
"",,Headcount Percent,2015,2016,,2017
Total,,76,Applicants 95,100,,78
Domestic,,60 78.9%,Admits 18,18,,17
URM,,8 13.3%,,,,
International,,16 21.1%,Matriculants 9,7,,10
Men,,40 52.6%,Admit Rate 18.9%,18.0%,,21.8%
Women,,36 47.4%,Yield 50.0%,38.9%,,58.8%
Degree Recipients,,,Median Time to Degree for Recipients,,,
by Academic Year of Conferral,,,by Academic Year of Conferral,,,
AY,,AY AY,AY,AY,,AY
2009‐11,,2012‐14 2015‐17,2009‐11,2012‐14,,2015‐17
Total 21,,14 30,Total 5.7,6.2,,5.7
"",,,,,,
Domestic 16,,12 23,Domestic 5.7,6.3,,5.7
URM,2,1 3,URM 5 .6,5.0,,5.3
International,5,2 7,International 5.7,5.7,,5.7
Men,8,6 16,Men 6.0,6.3,,5.7
Women 13,,8 14,Women 5.7,6.0,,5.7
Cohort Completions,,,Cohort Completion Rates,,,
by Academic Year of Entry,,,by Academic Year of Entry,,,
AY,,AY AY,AY,AY,,AY
2003‐05,,2006‐08 2009‐11,2003‐05,2006‐08,,2009‐11
Total Entering,‐,‐ ‐,All Recipients 67.9%,69.2%,,80.0%
Not Enrolled Fall 2017,9,8 9,Domestic 68.4%,75.0%,,79.2%
Left w/ Master's,5,2 8,URM 50.0%,50.0%,,66.7%
"",,,,,,
Enrolled Fall 2017,‐,‐ ‐,International 66.7%,50.0%,,83.3%
Total Completed 19,,18 21,,,,
"< 3Yr",‐,‐ ‐,Men 63.6%,100%,,91.7%
"",,,,,,
3‐4,2,‐ ‐,Women 70.6%,55.6%,,72.2%
4‐5,4,4 1,,,,
"",,,,,,
5‐6 10,,7 7,,,,
"",,,,,,
6‐7,3,6 12,,,,
7‐8,‐,1,,,,
8‐9,‐,‐,,,,
9‐10,‐,,,,,
"> 10",‐,,,,,
Sector,,,Job Function,,,
AY,,,AY,,,
2016‐2018,,,2016‐2018,,,
Total,32,100%,Total,,32,100%
Academia,24,75%,Administration,,‐,‐
Government,2,6.25%,"Business development,",,,
For‐Profit,3,9.38%,"consulting, and strategic",,,
Nonprofit,‐,‐,alliances,,‐,‐
Other,3,9.38%,Clinical research management,,2,6.25%
Unknown,‐,‐,Clinical services,,‐,‐
"",,,"Data science, analytics, and",,,
"",,,software engineering,,‐,‐
"",,,Entrepreneurship,,‐,‐
"",,,Faculty: nontenure track,,‐,‐
Career Type,,,Faculty: tenured/tenure track,,‐,‐
AY,,,,,,
"",,,Faculty: tenure track unclear,,,
2016‐2018,,,,,,
"",,,or not applicable,,‐,‐
Total,32,100%,,,,
"",,,Group leader (research),,‐,‐
6.25% Further Training or,,,Healthcare provider,,2,
"‐ Education",26,81.25%,Full‐time teaching staff,,‐,
"‐ Primarily Research",2,6.25%,Intellectual property and law,,‐,
"‐ Primarily Teaching",‐,‐,Part‐time teaching staff,,‐,
71.88% Discipline‐Related,1,3.12%,Postdoctoral,,23,
"‐ Not Related to Discipline",‐,‐,Regulatory affairs,,‐,
"",,,Research staff or technical,,,
Unknown,3,9.38%,,,,
"",,,director,,‐,‐
"",,,Sales and marketing,,‐,‐
"",,,Science education and,,,
1Methodological Note,,,outreach,,‐,‐
All career outcomes data was collected,,,Science policy and,,,
through a combination of efforts that include,,,government affairs,,‐,‐
"direct survey to recent graduates,",,,Science writing and,,,
"departmental self-reporting, and web",,,communication,,‐,‐
searching. Please note: initial is defined as the,,,Technical support and,,,
position held 90 days after graduation.,,,product development,,1,3.12%
"",,,Other,,3,9.38%
For more information concerning the common,,,Completing further education,,1,3.12%
set of definitions employed in the Coalition for,,,Deceased/retired,,‐,‐
"Next Generation Life Science, please refer to:",,,Unknown,,‐,‐
