Enrollment Headcounts,,,,Admissions,,,
"",,Fall 2017,,AY,AY,,AY
"",,Headcount Percent,,2015,2016,,2017
Total,,62,,Applicants 188,201,,196
Domestic,,48 77.4%,,Admits 23,27,,23
URM,,11 22.9%,,,,,
International,,14 22.6%,,Matriculants 6,12,,8
Men,,32 51.6%,,Admit Rate 12.2%,13.4%,,11.7%
Women,,30 48.4%,,Yield 26.1%,44.4%,,34.8%
Degree Recipients,,,,Median Time to Degree for Recipients,,,
by Academic Year of Conferral,,,,by Academic Year of Conferral,,,
AY,,AY AY,,AY,AY,,AY
2009‐11,,2012‐14 2015‐17,,2009‐11,2012‐14,,2015‐17
Total 20,,17 27,,Total 5.7,5.7,,6.0
"",,,,,,,
Domestic 12,,12 21,,Domestic 5.8,5.7,,6.3
URM,2,‐,3,URM  6.5,‐,,5 .7
International,8,5 6,,International 5.7,6.3,,5.8
Men,12,4 17,,Men 5.7,5.8,,6.3
Women,8,13 10,,Women 5.7,5.7,,6.0
Cohort Completions,,,,Cohort Completion Rates,,,
by Academic Year of Entry,,,,by Academic Year of Entry,,,
AY,,AY AY,,AY,AY,,AY
2003‐05,,2006‐08 2009‐11,,2003‐05,2006‐08,,2009‐11
Total Entering,‐,‐ ‐,,All Recipients 76.9%,61.3%,,70.0%
Not Enrolled Fall 2017,6,12 9,,Domestic 71.4%,61.9%,,76.2%
Left w/ Master's,4,10 8,,URM 50.0%,33.3%,,66.7%
"",,,,,,,
Enrolled Fall 2017,‐,‐ ‐,,International 83.3%,60.0%,,55.6%
Total Completed 20,,19 21,,,,,
"< 3Yr",‐,‐ ‐,,Men 92.9%,46.2%,,70.0%
"",,,,,,,
3‐4,1,2 ‐,,Women 58.3%,72.2%,,70.0%
4‐5,5,5 1,,,,,
"",,,,,,,
5‐6 10,,7 7,,,,,
"",,,,,,,
6‐7,3,5 12,,,,,
7‐8,1,‐,,,,,
8‐9,‐,‐,,,,,
9‐10,‐,,,,,,
"> 10",‐,,,,,,
Sector,,,,Job Function,,,
AY,,,,AY,,,
2016‐2018,,,,2016‐2018,,,
Total,18,100%,,Total,,18,100%
Academia,13,72.22%,,Administration,,1,5.56%
Government,‐,‐,,"Business development,",,,
For‐Profit,3,16.67%,,"consulting, and strategic",,,
Nonprofit,‐,‐,,alliances,,‐,‐
Other,‐,‐,,Clinical research management,,1,5.56%
Unknown,2,11.11%,,Clinical services,,‐,‐
"",,,,"Data science, analytics, and",,,
"",,,,software engineering,,‐,‐
"",,,,Entrepreneurship,,‐,‐
"",,,,Faculty: nontenure track,,‐,‐
Career Type,,,,Faculty: tenured/tenure track Faculty: tenure track unclear,,‐,‐
AY,,,,or not applicable,,‐,‐
2016‐2018,,,,Group leader (research),,‐,‐
Total,18,100%,,Healthcare provider,,1,5.56%
Further Training or,,,,,,,
"",11,61.11%,,Full‐time teaching staff,,‐,‐
Education,,,,Intellectual property and law,,‐,‐
Primarily Research,‐,‐,,Part‐time teaching staff,,‐,‐
Primarily Teaching,‐,‐,,Postdoctoral,,10,55.56%
Discipline‐Related,5,27.78%,,Regulatory affairs,,‐,‐
Not Related to Discipline,‐,‐,,Research staff or technical,,,
Unknown,2,11.11%,,director,,‐,‐
"",,,,Sales and marketing,,‐,‐
"",,,,Science education and,,,
"",,,,outreach,,‐,‐
"",,,,Science policy and,,,
1Methodological Note,,,,government affairs,,‐,‐
All career outcomes data was collected,,,,Science writing and,,,
through a combination of efforts that include,,,,communication,,1,5.56%
"direct survey to recent graduates,",,,,Technical support and,,,
"departmental self-reporting, and web",,,,product development,,‐,‐
searching. Please note: initial is defined as the,,,,Other,,‐,‐
position held 90 days after graduation.,,,,Completing further education,,2,11.11%
"",,,,Deceased/retired,,‐,‐
For more information concerning the common,,,,Unknown,,2,11.11%
