Enrollment Headcounts,,,Admissions,,,
"",,Fall 2017,AY,AY,,AY
"",,Headcount Percent,2015,2016,,2017
Total,,38,Applicants 37,25,,26
Domestic,,23 60.5%,Admits 10,13,,12
URM,,12 52.2%,,,,
International,,15 39.5%,Matriculants 9,9,,10
Men,,5 13.2%,Admit Rate 27.0%,52.0%,,46.2%
Women,,33 86.8%,Yield 90.0%,69.2%,,83.3%
Degree Recipients,,,Median Time to Degree for Recipients,,,
by Academic Year of Conferral,,,by Academic Year of Conferral,,,
AY,,AY AY,AY,AY,,AY
2009‐11,,2012‐14 2015‐17,2009‐11,2012‐14,,2015‐17
Total,2,11 11,Total 4.2,4.0,,4.0
Domestic,1,11 9,Domestic 3.7,4.0,,4.0
URM,‐,1 ‐,URM ‐,5.0,,‐
International,1,‐ 2,International 4.7,‐,,4.0
Men,1,2 2,Men 3.7,3.7,,4.7
Women,1,9 9,Women 4.7,4.0,,4.0
Cohort Completions,,,Cohort Completion Rates,,,
by Academic Year of Entry,,,by Academic Year of Entry,,,
AY,,AY AY,AY,AY,,AY
2003‐05,,2006‐08 2009‐11,2003‐05,2006‐08,,2009‐11
Total Entering,‐,‐ ‐,All Recipients 0.0%,66.7%,,80.0%
Not Enrolled Fall 2017,‐,3 4,Domestic 0.0%,62.5%,,80.0%
Left w/ Master's,‐,‐ 3,URM 0.0%,33.3%,,0.0%
Enrolled Fall 2017,‐,‐ ‐,International 0.0%,100%,,0.0%
Total Completed,‐,6 19,,,,
"< 3Yr",‐,‐ 1,Men 0.0%,33.3%,,100%
3‐4,‐,1 4,Women 0.0%,83.3%,,75.0%
4‐5,‐,4 2,,,,
5‐6,‐,1 12,,,,
6‐7,‐,‐ ‐,,,,
7‐8,‐,‐,,,,
8‐9,‐,‐,,,,
9‐10,‐,,,,,
"> 10",‐,,,,,
Sector,,,,Job Function,,,
AY,,,,AY,,,
2016‐2018,,,,2016‐2018,,,
Total,20,100%,,Total,,20,100%
Academia,18,90%,,Administration,,‐,‐
Government,1,5%,,"Business development,",,,
For‐Profit,1,5%,,"consulting, and strategic",,,
Nonprofit,‐,‐,,alliances,,‐,‐
Other,‐,‐,,Clinical research management,,‐,‐
Unknown,‐,‐,,Clinical services,,‐,‐
"",,,,"Data science, analytics, and",,,
"",,,,software engineering,,‐,‐
"",,,,Entrepreneurship,,‐,‐
"",,,,Faculty: nontenure track,,1,5%
C areer Type,,,,Faculty: tenured/tenure track,,3,15%
AY,,,,Faculty: tenure track unclear,,,
2016‐2018,,,,or not applicable,,‐,‐
Total,20,100%,,Group leader (research),,1,5%
Further Training or,,,,Healthcare provider,,‐,‐
"",14,70%,,,,,
Education,,,,Full‐time teaching staff,,‐,‐
Primarily Research,3,15%,,Intellectual property and law,,‐,‐
Primarily Teaching,1,5%,,Part‐time teaching staff,,‐,‐
Discipline‐Related,2,10%,,Postdoctoral,,14,70%
Not Related to Discipline,‐,‐,,Regulatory affairs,,‐,‐
Unknown,‐,‐,,Research staff or technical,,,
"",,,,director,,‐,‐
"",,,,Sales and marketing,,‐,‐
"",,,,Science education and,,,
"",,,,outreach,,‐,‐
"",,,,Science policy and,,,
1Methodological Note,,,,government affairs,,‐,‐
All career outcomes data was collected,,,,Science writing and,,,
through a combination of efforts that include,,,,communication,,‐,‐
"direct survey to recent graduates,",,,,Technical support and,,,
"departmental self-reporting, and web",,,,product development,,‐,‐
searching. Please note: initial is defined as the,,,,Other,,‐,‐
position held 90 days after graduation.,,,,Completing further education,,1,5%
"",,,,Deceased/retired,,‐,‐
For more information concerning the common,,,,Unknown,,‐,‐
